SMILES,pIC50,mol,num_atoms,logP,Molecular_Weight,Num_Bonds,TPSA,NumHDoner,NumHAcceptor
O=Nc1ccc2ccccc2c1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fc30>,13,2.943300000000001,173.17099999999996,14,49.66,1,3
c1ccc2c(c1)oc1ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fca0>,13,3.586000000000001,168.195,15,13.14,0,1
c1ccc2c(c1)sc1ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fd10>,13,4.054500000000002,184.263,15,0.0,0,1
Oc1cc(O)c2ccccc2c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fd80>,12,2.2509999999999994,160.17199999999997,13,40.46,2,2
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fdf0>,16,2.9135000000000018,300.59399999999994,17,37.38,0,3
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fe60>,16,3.2585000000000006,296.562,17,37.38,0,3
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fed0>,17,2.1936,229.23500000000004,18,72.55000000000001,2,4
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298ff40>,18,2.4208,270.76,18,55.56,1,4
O=C(O)CCCc1c[nH]c2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990040>,15,2.5752000000000006,203.241,16,53.089999999999996,2,1
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a29900b0>,20,0.8210000000000004,380.66200000000003,21,118.35999999999999,3,5
O=C(O)c1cc(I)cc(I)c1O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990120>,12,2.2996000000000003,389.914,12,57.53,2,2
COC(=O)c1ccccc1N,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990190>,11,1.0554,151.16499999999996,11,52.32,1,3
Nc1cccc2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990200>,11,2.4220000000000006,143.189,12,26.02,1,1
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990270>,19,2.831100000000001,256.25699999999995,20,52.60000000000001,0,4
Nc1nc2nn[nH]c2c(=O)[nH]1,0.9987391101948528,<rdkit.Chem.rdchem.Mol object at 0x7f59a29902e0>,11,-1.3766000000000005,152.11700000000002,12,113.33999999999997,3,5
CCN(CC)C(=O)c1cccc(C)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990350>,14,2.4770200000000004,191.274,14,20.310000000000002,0,1
O=C(C(=O)c1ccccc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29903c0>,16,2.752200000000001,210.232,17,34.14,0,2
CC(=O)Nc1cccc(C)c1C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990430>,12,2.2618400000000003,163.21999999999997,12,29.1,1,1
CCc1ccccc1CC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29904a0>,10,2.811400000000001,134.22199999999998,10,0.0,0,0
COc1ccccc1C=O,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990510>,10,1.5076999999999998,136.14999999999998,10,26.3,0,2
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990580>,20,0.5983000000000003,360.2440000000001,21,109.57,2,5
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,0.97,<rdkit.Chem.rdchem.Mol object at 0x7f59a29905f0>,20,0.0141000000000005,331.29699999999997,21,118.35999999999999,3,5
Oc1ccc2ccccc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990660>,11,2.5454,144.17299999999997,12,20.23,1,1
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29906d0>,22,6.299400000000003,278.354,26,0.0,0,0
c1ccc2c(c1)Nc1ccccc1O2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990740>,14,3.5359000000000016,183.20999999999998,16,21.259999999999998,1,2
c1ccc(Nc2ccc3ccccc3c2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29907b0>,17,4.583400000000002,219.287,19,12.03,1,1
CCC(C)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990820>,10,3.2001000000000017,134.22199999999998,10,0.0,0,0
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990890>,18,2.2152000000000003,251.28199999999993,18,65.49000000000001,0,5
CCCCOC(=O)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990900>,13,2.6435000000000013,178.231,13,26.3,0,2
CCCCCCc1ccc(O)cc1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990970>,14,3.2206000000000023,194.274,14,40.46,2,2
CCCCCCCCCc1ccccc1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29909e0>,16,4.685300000000005,220.35600000000002,16,20.23,1,1
Nc1ccccc1S,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990a50>,8,1.5575,125.19599999999998,8,26.02,2,2
Cc1cc(C)c(N)cc1C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990ac0>,10,2.1940600000000003,135.21,10,26.02,1,1
CC1=CC(=O)C(C)=CC1=O,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990b30>,10,1.0308,136.14999999999998,10,34.14,0,2
CN(C)C(=S)SSC(=S)N(C)C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990ba0>,12,2.0608,240.44400000000002,11,6.48,0,4
CCC(C)CO,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990c10>,6,1.0248,88.14999999999999,5,20.23,1,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990c80>,17,2.5837400000000006,234.343,17,32.34,1,2
CCc1ccc(S(N)(=O)=O)cc1,0.13,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990cf0>,12,0.8964000000000002,185.24800000000002,12,60.160000000000004,1,2
NS(=O)(=O)c1ccc(C(=O)O)cc1,0.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990d60>,13,0.0321999999999999,201.20299999999997,13,97.46000000000001,2,3
COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990dd0>,28,2.5828000000000007,388.46400000000017,29,69.26,1,6
C=C(C)C1CC=C(C)CC1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990e40>,10,3.308900000000002,136.23799999999997,10,0.0,0,0
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2990eb0>,15,2.1655999999999995,229.71500000000003,15,62.730000000000004,2,5
